"Begin","End","Event-no-links","Event_link_1","details_link","Theater","Source","Source URL"
"1914-06-28",,"Assassination of Archduke Franz Ferdinand of Austria, heir to the Austro-Hungarian throne, who was killed in Sarajevo along with his wife Duchess Sophie by Bosnian Serb Gavrilo Princip.","http://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand_of_Austria","http://en.wikipedia.org/wiki/Assassination_in_Sarajevo","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-07-05",,"Austria-Hungary seeks German support for a war against Serbia in case of Russian militarism. Germany gives assurances of support.","http://en.wikipedia.org/wiki/Austria-Hungary",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-07-23",,"Austria-Hungary sends an ultimatum to Serbia. The Serbian response is seen as unsatisfactory.","http://en.wikipedia.org/wiki/Serbia","http://en.wikipedia.org/wiki/July_Ultimatum","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-07-28",,"Austria-Hungary declares war on Serbia. Russia mobilizes.","http://en.wikipedia.org/wiki/Austria-Hungary",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-07-31",,"Germany warns Russia to stop mobilizing. Russia says mobilization is against Austria-Hungary only.","http://en.wikipedia.org/wiki/Germany",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-01",,"Germany and the Ottoman Empire sign a secret alliance treaty.","http://en.wikipedia.org/wiki/Germany","http://en.wikipedia.org/wiki/Ottoman-German_Alliance","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-01",,"Germany declares war on Russia.","http://en.wikipedia.org/wiki/Russia",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-01",,"Italy declares its neutrality.",,,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-02",,"Germany sieges and captures fortified Longwy ""the iron gate to Paris"" near the Luxembourg border, opening France to mass German invasion","http://en.wikipedia.org/wiki/Longwy",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-02",,"Germany invades Luxembourg.","http://en.wikipedia.org/wiki/Luxembourg","http://en.wikipedia.org/wiki/German_occupation_of_Luxembourg_in_World_War_I","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-02",,"Skirmish at Joncherey, first military action on the Western Front","http://en.wikipedia.org/wiki/Skirmish_at_Joncherey",,"Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-03",,"Germany declares war on France. Belgium does not allow German arms through to the French border.","http://en.wikipedia.org/wiki/Germany",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-04","1914-08-16","The Germans besiege and then capture the fortresses of Liège, Belgium.","http://en.wikipedia.org/wiki/Liège","http://en.wikipedia.org/wiki/Siege_of_Liège","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-04",,"Germany invades Belgium","http://en.wikipedia.org/wiki/Belgium","http://en.wikipedia.org/wiki/Rape_of_Belgium","Western","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-04",,"Britain protests the violation of Belgian neutrality, guaranteed by a treaty;
German Chancellor replies that the treaty is just a chiffon de papier (a scrap of paper).
The United Kingdom declares war on Germany.","http://en.wikipedia.org/wiki/United_Kingdom","http://en.wikipedia.org/wiki/History_of_the_United_Kingdom_during_World_War_I#Government","Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
"1914-08-04",,"The United States declares neutrality.","http://en.wikipedia.org/wiki/United_States",,"Politics","Wikipedia","http://en.wikipedia.org/wiki/Timeline_of_World_War_I"
